tweet_id,user_id,username,name,first_name,last_name,full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,quote_count,bookmarked,favorited,retweeted,created_at,user_mentions,location,bio,website,websites,can_dm,can_media_tag,is_quote_status,lang,followers_count,following_count,media_count,statuses_count,favourites_count,listed_count,fast_followers_count,normal_followers_count,followed_by,following,profile_banner_url,profile_url,avatar_url,verified,is_blue_verified,user_created_at
1807473538590191634,972555646330654721,B_Simuli,farm_analytic,farm_analytic,,"Who is the visitor in Kenya to believe in the Ruto lies?

Surely 😂 

#RutoMustGo",87,0,1,0,1,1,FALSE,FALSE,FALSE,"6/30/2024, 10:57:27 PM",,"Nairobi, Kenya",A woman for all seasons. // My Today must be greater than my yesterday// Remember WHY you started!,,,FALSE,TRUE,FALSE,en,54,496,222,3205,2225,0,0,54,,,https://pbs.twimg.com/profile_banners/972555646330654721/1681101255,https://www.x.com/B_Simuli,https://pbs.twimg.com/profile_images/1560176998286331904/nAPcFjSm_normal.jpg,FALSE,FALSE,"3/11/2018, 12:31:50 AM"
1807473503488168345,1636580284664631300,_blxvck,Blvck 🖤🚭,Blvck,🖤🚭,@city_digest Ruto can lie mailood 😂 https://t.co/htxfUhe0Jw,49,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:19 PM",city_digest,Got Lost,"alpha mindset, sigma soul 🫠

@Manutd ❤️",,,FALSE,FALSE,FALSE,en,4364,3195,1396,41035,29679,4,0,4364,,,https://pbs.twimg.com/profile_banners/1636580284664631300/1718439192,https://www.x.com/_blxvck,https://pbs.twimg.com/profile_images/1804158158153175040/JvAhkyaU_normal.jpg,FALSE,FALSE,"3/17/2023, 9:09:00 AM"
1807473484731416748,2188014305,Ekimani7Eric,Baba Baruch,Baba,Baruch,"@paulinenjoroge Dear Pauline, Kaimenyi is one of them...don't defend Uhuru..don't respond to attacks against Uhuru...the focus is Ruto and his lies... Uhuru is past tense",105,0,3,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:14 PM",paulinenjoroge,,I believe in God,,,FALSE,TRUE,FALSE,en,458,971,294,2317,382,1,0,458,,,,https://www.x.com/Ekimani7Eric,https://pbs.twimg.com/profile_images/1484065589417160706/d2KVsukd_normal.jpg,FALSE,FALSE,"11/20/2013, 3:14:18 AM"
1807473480561999932,931470735092133889,cbs_ke,Kawangware Finest ™ (Geoffrey Moturi),Kawangware,Finest ™ (Geoffrey Moturi),I will not lie to the country that withdrawing the finance bill is going to be easy. Those consequences will start with me by cutting costs and implementing austerity programs to trim down the necessary offices. - President William Ruto,722,1,4,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:13 PM",,The Capital & Beyond Borders,"||Digital Journalist || Digital Media Strategist ||
||Opinion is Free But Facts are Sacred||",https://www.facebook.com/jeffmoturi,https://www.facebook.com/jeffmoturi,TRUE,FALSE,FALSE,en,138137,32712,29384,202743,210874,69,0,138137,,,https://pbs.twimg.com/profile_banners/931470735092133889/1645339147,https://www.x.com/cbs_ke,https://pbs.twimg.com/profile_images/1791917157346861056/5Sinfc5j_normal.jpg,FALSE,TRUE,"11/17/2017, 3:35:03 PM"
1807473465316004324,1337998896719650817,DanChepta,DP 🇰🇪,DP,🇰🇪,"President William Ruto will lie even if he knows he is lying.

#PresidentialRoundtable https://t.co/MiNPp8BIWt",767,0,10,0,3,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:10 PM",,"Washington, USA",Fargin,https://youtube.com/channel/UCl_I35Pt1ZC2LzumM5lCOhA,https://youtube.com/channel/UCl_I35Pt1ZC2LzumM5lCOhA,TRUE,FALSE,FALSE,en,31893,24865,13776,128274,308506,9,0,31893,,,https://pbs.twimg.com/profile_banners/1337998896719650817/1710265807,https://www.x.com/DanChepta,https://pbs.twimg.com/profile_images/1689298536188317696/qrzMVq4Z_normal.jpg,FALSE,TRUE,"12/13/2020, 10:53:11 AM"
1807473458470600868,2751512015,devvy_brown,Devyy_brown,Devyy_brown,,"@MutandaLaw RUTO:
LIES
LIES
LIES
LIES
LIES
LIES
LIES
LIES
LIES
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS
CRIMINALS

#RutoMustGo",63,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:08 PM",MutandaLaw,"Nairobi, Kenya","ZOEY👑

IG:@devvy_brown

Buda Zoey❤",,,TRUE,TRUE,FALSE,ca,130,600,26,517,4853,0,0,130,,,https://pbs.twimg.com/profile_banners/2751512015/1554242814,https://www.x.com/devvy_brown,https://pbs.twimg.com/profile_images/1377336221148585992/A7QfudKJ_normal.jpg,FALSE,FALSE,"8/26/2014, 12:25:43 PM"
1807473457547915324,1498388333378027526,towett_1,𝚃𝚘𝚠𝚎𝚝𝚝 𝙱,𝚃𝚘𝚠𝚎𝚝𝚝,𝙱,"This guy is just emptying lies on national TV.

He is avoiding questions on police killings and corruption in the government.

When will Ruto be honest instead of misleading the country. https://t.co/01yksR2RZN",234,0,4,0,3,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:08 PM",,"Nairobi, Kenya",Just Football | Cars | Business | Travel the globe | Manchester United,http://www.hush.com,http://www.hush.com,TRUE,TRUE,FALSE,en,14933,557,2925,24632,18798,1,0,14933,,,https://pbs.twimg.com/profile_banners/1498388333378027526/1714080101,https://www.x.com/towett_1,https://pbs.twimg.com/profile_images/1783607335308410880/6eMY1Ypl_normal.jpg,FALSE,TRUE,"3/1/2022, 1:03:26 AM"
1807473449457143994,1265582307848654848,Dreyanna12,Dreyanna 🥰❤️♍️,Dreyanna,🥰❤️♍️,"Somebody tell Ruto too much of something is poisonous, his lies are too much tffffffff !!",180,0,8,2,6,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:06 PM",,cloud nine😌😌 his heart,"Barbie💖💝
Wabi Sabi 😇😊",,,FALSE,TRUE,FALSE,en,1995,1211,594,19617,82343,1,0,1995,,,https://pbs.twimg.com/profile_banners/1265582307848654848/1689532064,https://www.x.com/Dreyanna12,https://pbs.twimg.com/profile_images/1677269089096441858/P1koMcTm_normal.jpg,FALSE,FALSE,"5/27/2020, 2:55:26 PM"
1807473445795447014,33566231,NairobiBlue,Blue,Blue,,It is now clear that Ruto is rattled. Mtukufu Lies,184,0,3,0,1,0,FALSE,FALSE,FALSE,"6/30/2024, 10:57:05 PM",,Milky Way,"My true home, the Milky Way.",,,FALSE,FALSE,FALSE,en,163,2,8,330,7347,9,0,163,,,https://pbs.twimg.com/profile_banners/33566231/1692994243,https://www.x.com/NairobiBlue,https://pbs.twimg.com/profile_images/1806764840247066624/WtOMI4iO_normal.jpg,FALSE,FALSE,"4/20/2009, 10:15:53 PM"
1807473413545439437,1570367029223333888,Officialshamir_,Shamir,Shamir,,In words of Jacob Juma don't listen to William ruto he lies with impunity,12,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:57 PM",,Kenya,"Philanthropist 
Actor

All men must live

The ends you serve that are selfish will take you no further than yourself but the ends you serve that are for all, in",,,FALSE,TRUE,FALSE,en,41,203,5,344,1614,0,0,41,,,,https://www.x.com/Officialshamir_,https://pbs.twimg.com/profile_images/1804451888919724032/8l4_v0wF_normal.jpg,FALSE,FALSE,"9/15/2022, 4:01:04 PM"
1807473412224262557,1498007125351665673,realfrankooh__,a guy has no name,a,guy has no name,"the person who said ""akhi men can lie"" was clearly referring to ruto",129,0,8,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:57 PM",,"Michigan, USA",| I AM MUSIC | thug it out |,,,TRUE,TRUE,FALSE,en,21921,916,1659,82494,113969,24,0,21921,,,https://pbs.twimg.com/profile_banners/1498007125351665673/1719949412,https://www.x.com/realfrankooh__,https://pbs.twimg.com/profile_images/1807144084865163265/myGDcX4Z_normal.jpg,FALSE,FALSE,"2/27/2022, 11:48:39 PM"
1807473370469958058,1097220844533751808,nursemomanyi,Momanyi,Momanyi,,"William Ruto
Mtukufu lies

Let me tell you my good friend....
Infact.....
Billions and millions....
Those are facts...
 Add more",432,0,5,1,1,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:47 PM",,"Nyeri, Kenya","Nursing Officer.
Student of life. 
A cyclist.
A Lifestyle Coach.
A Red Cross volunteer.
Certfied Sexual and Reproductive Health Expert.
Men's Healthcare Centre",,,TRUE,FALSE,FALSE,en,1877,2199,102,872,12438,0,0,1877,,,https://pbs.twimg.com/profile_banners/1097220844533751808/1646321635,https://www.x.com/nursemomanyi,https://pbs.twimg.com/profile_images/1803801839776698371/riSt4SlZ_normal.jpg,FALSE,FALSE,"2/18/2019, 12:46:49 AM"
1807473341101494493,454055569,Bensamkip,Samoei benard,Samoei,benard,@jamessmat Ruto Can lie until you feel like you are in Europe 😂😂😂😂,69,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:40 PM",jamessmat,"Narok, Kenya",I am always a work in progress,,,TRUE,TRUE,FALSE,en,189,818,18,2924,2314,0,0,189,,,,https://www.x.com/Bensamkip,https://pbs.twimg.com/profile_images/1784494062029930496/ewy07p4E_normal.jpg,FALSE,FALSE,"1/3/2012, 8:38:17 PM"
1807473327142748198,1052497962,OrikuKenphilip,Kenphilip Oriku,Kenphilip,Oriku,"Journalists: Innocent Lives were lost...

Ruto: Properties were destroyed..!

Heh...! Mtukufu Lies
#RutoMustGo",398,1,4,0,3,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:37 PM",,"Nairobi, Kenya",|• MEDICAL LAW 🏛 •| LAND LAW 🏛 •|,http://www.kenphiliporiku.wordpress.com,http://www.kenphiliporiku.wordpress.com,FALSE,FALSE,FALSE,en,3767,3187,73,719,15518,1,0,3767,,,https://pbs.twimg.com/profile_banners/1052497962/1643960366,https://www.x.com/OrikuKenphilip,https://pbs.twimg.com/profile_images/1489225692424331265/NtTqJQlw_normal.jpg,FALSE,FALSE,"1/1/2013, 5:39:14 PM"
1807473300324466858,1275103622716588036,JeddyMutheu,Jeddie,Jeddie,,@Honeyfarsafi Aki Ruto can lie,51,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:30 PM",Honeyfarsafi,"Mombasa, Kenya",sophisticated,,,FALSE,TRUE,FALSE,hi,257,386,5,321,766,0,0,257,,,https://pbs.twimg.com/profile_banners/1275103622716588036/1642430223,https://www.x.com/JeddyMutheu,https://pbs.twimg.com/profile_images/1502697379744604171/aF-IRSFH_normal.jpg,FALSE,FALSE,"6/22/2020, 9:29:41 PM"
1807473259895562390,798497636085092352,KarasingaG,Karasinga G. Alex,Karasinga,G. Alex,@C_NyaKundiH Ruto Ruto Ruto. Alaa. Man you lie so boldly. He lies. He won't go anywhere,61,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:21 PM",C_NyaKundiH,"Nairobi, Kenya","Business man
Public figure
Research analyst",,,FALSE,TRUE,FALSE,en,143,370,18,3049,5223,0,0,143,,,https://pbs.twimg.com/profile_banners/798497636085092352/1522150002,https://www.x.com/KarasingaG,https://pbs.twimg.com/profile_images/1754420445162401792/OdVhWrFi_normal.jpg,FALSE,FALSE,"11/15/2016, 5:07:26 PM"
1807473252450587125,570654948,Kelvinmwangombe,Kelvin mwangombe,Kelvin,mwangombe,"Ruto ""Every VTC has an ICT hub"". This is a lie, a fat lie",32,0,0,0,0,0,FALSE,FALSE,FALSE,"6/30/2024, 10:56:19 PM",,"Wundanyi, Kenya","Security expert | chelsea fan | brother's keeper | my tweets, my views |",,,FALSE,TRUE,FALSE,en,1337,1622,1109,35934,12019,23,0,1337,,,https://pbs.twimg.com/profile_banners/570654948/1431131253,https://www.x.com/Kelvinmwangombe,https://pbs.twimg.com/profile_images/925552370855051264/yLXfFHCg_normal.jpg,FALSE,FALSE,"5/4/2012, 10:57:52 AM"
